timestamp,open,high,low,close,volume
2019-01-01 00:00:00,3701.23,3703.72,3689.88,3697.31,190.974095
2019-01-01 00:15:00,3697.91,3698.75,3690.56,3694.2,131.742721
2019-01-01 00:30:00,3693.96,3705.0,3693.0,3702.39,171.877714
2019-01-01 00:45:00,3702.05,3713.0,3695.02,3700.31,191.77289
2019-01-01 01:00:00,3700.2,3702.73,3691.22,3701.03,139.872706
2019-01-01 01:15:00,3702.39,3702.39,3695.46,3699.25,135.318759
2019-01-01 01:30:00,3699.08,3700.0,3689.03,3691.41,140.344071
2019-01-01 01:45:00,3691.34,3692.64,3684.22,3689.69,198.003579
2019-01-01 02:00:00,3689.67,3695.95,3687.22,3691.67,273.729883
2019-01-01 02:15:00,3691.65,3694.71,3675.04,3686.64,245.75854
2019-01-01 02:30:00,3684.76,3689.99,3683.17,3686.97,180.172022
2019-01-01 02:45:00,3687.55,3692.38,3680.0,3690.0,195.641736
2019-01-01 03:00:00,3690.0,3698.95,3687.58,3698.27,238.261941
2019-01-01 03:15:00,3696.21,3699.77,3692.43,3696.61,160.437875
2019-01-01 03:30:00,3696.61,3696.61,3688.25,3688.28,188.830619
2019-01-01 03:45:00,3689.44,3695.0,3685.78,3693.13,209.184383
2019-01-01 04:00:00,3692.32,3720.0,3690.73,3707.18,422.854404
2019-01-01 04:15:00,3706.0,3709.21,3685.94,3696.52,323.532946
2019-01-01 04:30:00,3697.0,3698.84,3689.72,3694.49,236.955293
2019-01-01 04:45:00,3694.49,3702.25,3691.66,3692.71,334.110266
2019-01-01 05:00:00,3693.98,3702.04,3692.73,3701.66,222.938368
2019-01-01 05:15:00,3700.71,3704.44,3698.51,3700.05,125.588368
2019-01-01 05:30:00,3700.01,3702.46,3698.51,3699.5,139.167819
2019-01-01 05:45:00,3699.48,3702.72,3697.0,3699.94,84.707673
2019-01-01 06:00:00,3699.95,3713.93,3698.96,3707.6,261.948458
2019-01-01 06:15:00,3707.55,3709.98,3703.08,3704.84,121.361094
2019-01-01 06:30:00,3706.76,3708.28,3697.9,3699.89,163.561562
2019-01-01 06:45:00,3699.97,3706.7,3697.0,3703.56,113.408657
2019-01-01 07:00:00,3703.63,3708.02,3703.34,3705.04,76.479779
2019-01-01 07:15:00,3705.92,3726.64,3704.0,3711.26,437.302946
2019-01-01 07:30:00,3709.77,3715.44,3704.0,3708.97,174.638643
2019-01-01 07:45:00,3708.96,3718.0,3707.17,3713.83,135.204123
2019-01-01 08:00:00,3714.19,3718.73,3707.0,3710.61,133.63775
2019-01-01 08:15:00,3710.62,3729.28,3710.07,3727.79,301.18798
2019-01-01 08:30:00,3727.11,3731.19,3717.64,3722.0,232.390476
2019-01-01 08:45:00,3721.33,3727.32,3714.5,3716.7,219.885156
2019-01-01 09:00:00,3716.98,3719.99,3708.3,3709.88,181.548091
2019-01-01 09:15:00,3711.66,3719.99,3709.86,3713.28,206.371995
2019-01-01 09:30:00,3713.49,3715.0,3696.14,3699.89,267.618988
2019-01-01 09:45:00,3700.72,3732.0,3696.61,3699.95,300.33996
2019-01-01 10:00:00,3699.96,3710.75,3698.0,3710.53,151.724842
2019-01-01 10:15:00,3710.12,3717.11,3707.93,3711.79,114.30406
2019-01-01 10:30:00,3713.99,3715.0,3710.0,3711.31,146.746028
2019-01-01 10:45:00,3710.55,3714.59,3708.27,3713.07,121.339015
2019-01-01 11:00:00,3713.07,3720.0,3711.66,3716.31,122.679924
2019-01-01 11:15:00,3717.3,3722.22,3711.93,3716.0,182.765171
2019-01-01 11:30:00,3716.29,3719.44,3711.11,3714.31,143.69453
2019-01-01 11:45:00,3713.81,3717.43,3706.88,3707.54,151.525017
2019-01-01 12:00:00,3707.56,3711.0,3698.25,3710.84,150.074105
2019-01-01 12:15:00,3710.89,3717.71,3710.04,3710.88,153.644168
2019-01-01 12:30:00,3710.88,3713.0,3705.74,3711.8,120.816299
2019-01-01 12:45:00,3711.34,3725.0,3711.34,3717.0,229.743138
2019-01-01 13:00:00,3717.0,3719.97,3711.12,3712.25,143.3696
2019-01-01 13:15:00,3712.69,3714.53,3708.41,3713.57,131.332917
2019-01-01 13:30:00,3713.57,3715.0,3711.28,3712.01,132.671954
2019-01-01 13:45:00,3712.76,3756.94,3711.9,3715.93,534.411224
2019-01-01 14:00:00,3715.23,3717.0,3684.21,3707.06,605.288949
2019-01-01 14:15:00,3707.18,3709.58,3698.53,3701.72,179.897058
2019-01-01 14:30:00,3702.1,3713.0,3700.56,3709.38,160.257206
2019-01-01 14:45:00,3709.48,3710.0,3692.98,3698.53,181.923419
2019-01-01 15:00:00,3698.28,3698.87,3673.04,3675.0,405.952507
2019-01-01 15:15:00,3673.13,3687.02,3666.01,3678.23,299.161748
2019-01-01 15:30:00,3678.23,3690.0,3677.48,3686.32,159.509402
2019-01-01 15:45:00,3686.02,3687.64,3680.0,3682.61,132.064875
2019-01-01 16:00:00,3683.0,3687.0,3677.48,3685.38,174.699033
2019-01-01 16:15:00,3685.37,3694.35,3681.69,3693.58,150.725316
2019-01-01 16:30:00,3693.58,3696.23,3689.14,3693.9,168.247383
2019-01-01 16:45:00,3692.66,3695.76,3688.0,3693.54,135.508548
2019-01-01 17:00:00,3693.5,3694.98,3690.0,3693.58,90.278957
2019-01-01 17:15:00,3693.61,3701.68,3690.77,3691.46,108.733726
2019-01-01 17:30:00,3692.45,3692.98,3675.01,3688.22,113.30712
2019-01-01 17:45:00,3688.12,3688.96,3680.68,3686.32,67.895684
2019-01-01 18:00:00,3686.34,3686.35,3670.16,3670.47,185.979544
2019-01-01 18:15:00,3670.86,3680.38,3670.0,3675.26,112.733324
2019-01-01 18:30:00,3675.16,3676.29,3642.0,3656.29,592.240446
2019-01-01 18:45:00,3656.27,3667.98,3654.0,3659.41,192.253782
2019-01-01 19:00:00,3659.56,3674.64,3659.56,3673.17,438.531453
2019-01-01 19:15:00,3673.15,3680.4,3669.46,3676.15,182.75835
2019-01-01 19:30:00,3676.2,3692.88,3670.89,3687.83,287.072086
2019-01-01 19:45:00,3687.41,3699.99,3681.79,3696.73,247.151223
2019-01-01 20:00:00,3696.71,3716.95,3675.67,3711.87,608.308052
2019-01-01 20:15:00,3711.06,3726.93,3697.41,3712.67,533.573011
2019-01-01 20:30:00,3712.67,3726.93,3705.86,3710.01,496.436493
2019-01-01 20:45:00,3710.39,3719.0,3701.69,3719.0,382.853392
2019-01-01 21:00:00,3719.0,3730.01,3711.27,3714.8,425.224932
2019-01-01 21:15:00,3714.8,3719.7,3706.32,3716.26,223.409393
2019-01-01 21:30:00,3716.59,3721.7,3708.55,3708.91,209.24351
2019-01-01 21:45:00,3709.45,3711.99,3700.0,3708.21,247.6239
2019-01-01 22:00:00,3707.98,3712.98,3703.52,3704.36,176.375178
2019-01-01 22:15:00,3704.36,3706.95,3692.42,3702.8,182.00021
2019-01-01 22:30:00,3703.87,3716.79,3701.91,3712.93,149.601641
2019-01-01 22:45:00,3712.9,3717.07,3710.28,3711.2,116.643107
2019-01-01 23:00:00,3712.85,3730.0,3706.43,3725.54,209.886809
2019-01-01 23:15:00,3724.31,3810.16,3720.0,3801.9,2244.85684
