timestamp,open,high,low,close,volume
2019-01-01 00:00:00,131.45,131.54,131.01,131.31,3431.58885
2019-01-01 00:15:00,131.3,131.44,131.25,131.29,1914.77814
2019-01-01 00:30:00,131.28,131.81,131.16,131.78,3454.192
2019-01-01 00:45:00,131.78,132.22,131.61,131.82,3877.40277
2019-01-01 01:00:00,131.83,131.88,131.26,131.65,2900.49848
2019-01-01 01:15:00,131.64,131.67,131.38,131.51,1637.91872
2019-01-01 01:30:00,131.5,131.53,131.2,131.28,1569.21661
2019-01-01 01:45:00,131.28,131.3,131.0,131.14,3434.21184
2019-01-01 02:00:00,131.19,131.34,131.0,131.11,2354.77433
2019-01-01 02:15:00,131.11,131.27,130.36,130.68,4120.8817
2019-01-01 02:30:00,130.7,130.88,130.58,130.7,1995.20227
2019-01-01 02:45:00,130.7,130.86,130.0,130.72,3568.18306
2019-01-01 03:00:00,130.72,131.31,130.71,131.3,2421.86938
2019-01-01 03:15:00,131.33,131.47,131.3,131.32,1314.39847
2019-01-01 03:30:00,131.33,131.38,131.0,131.02,894.87352
2019-01-01 03:45:00,131.02,131.33,130.9,131.32,1689.16606
2019-01-01 04:00:00,131.31,134.0,131.3,133.85,14032.53703
2019-01-01 04:15:00,133.87,133.87,132.73,133.02,6403.22102
2019-01-01 04:30:00,133.04,133.16,132.25,132.34,4621.51036
2019-01-01 04:45:00,132.34,132.9,132.06,132.35,4157.37354
2019-01-01 05:00:00,132.37,132.8,132.37,132.75,3230.18208
2019-01-01 05:15:00,132.72,132.98,132.6,132.69,1737.59405
2019-01-01 05:30:00,132.69,132.86,132.64,132.82,869.89698
2019-01-01 05:45:00,132.81,132.89,132.65,132.75,900.98466
2019-01-01 06:00:00,132.74,133.12,132.67,133.03,1617.37633
2019-01-01 06:15:00,133.01,133.08,132.9,133.0,1423.36743
2019-01-01 06:30:00,133.0,133.34,132.9,133.08,1886.73902
2019-01-01 06:45:00,133.07,133.5,133.06,133.36,1276.80123
2019-01-01 07:00:00,133.36,133.75,133.36,133.62,1678.42573
2019-01-01 07:15:00,133.63,134.3,133.21,133.38,4631.6077
2019-01-01 07:30:00,133.38,133.48,133.01,133.08,1940.15336
2019-01-01 07:45:00,133.08,133.65,133.05,133.56,1964.76419
2019-01-01 08:00:00,133.56,133.81,133.19,133.64,1863.13061
2019-01-01 08:15:00,133.61,134.8,133.3,134.67,5588.20837
2019-01-01 08:30:00,134.71,135.0,134.21,134.8,3915.113
2019-01-01 08:45:00,134.78,135.3,134.4,134.52,4975.75466
2019-01-01 09:00:00,134.55,134.78,134.07,134.14,4703.11538
2019-01-01 09:15:00,134.13,134.73,134.07,134.54,3230.67279
2019-01-01 09:30:00,134.58,134.58,133.55,133.7,3355.64025
2019-01-01 09:45:00,133.69,134.06,133.66,133.7,3605.92868
2019-01-01 10:00:00,133.72,134.14,133.66,134.04,1879.06547
2019-01-01 10:15:00,134.05,134.13,133.73,133.87,1724.44958
2019-01-01 10:30:00,133.86,133.99,133.74,133.85,1464.77281
2019-01-01 10:45:00,133.83,133.89,133.68,133.86,1319.81405
2019-01-01 11:00:00,133.89,134.46,133.84,134.4,1766.9009
2019-01-01 11:15:00,134.4,134.7,134.07,134.38,1903.85197
2019-01-01 11:30:00,134.38,134.4,134.02,134.03,1389.64255
2019-01-01 11:45:00,134.03,134.37,133.71,133.75,1590.95959
2019-01-01 12:00:00,133.78,134.0,133.17,133.9,5286.35461
2019-01-01 12:15:00,133.91,134.38,133.91,134.08,2045.19097
2019-01-01 12:30:00,134.05,134.23,133.94,134.18,1644.89051
2019-01-01 12:45:00,134.26,134.76,134.09,134.48,2442.25259
2019-01-01 13:00:00,134.48,134.56,134.14,134.17,1700.96896
2019-01-01 13:15:00,134.17,134.21,133.87,134.21,2248.73609
2019-01-01 13:30:00,134.21,134.29,134.07,134.09,739.60036
2019-01-01 13:45:00,134.09,136.0,134.0,134.54,7945.07635
2019-01-01 14:00:00,134.43,134.51,132.95,133.86,6457.89876
2019-01-01 14:15:00,133.86,134.5,133.61,133.75,3108.43616
2019-01-01 14:30:00,133.75,134.11,133.51,134.05,2100.86693
2019-01-01 14:45:00,134.05,134.08,133.51,133.57,1677.16133
2019-01-01 15:00:00,133.52,133.73,132.26,132.5,6499.44511
2019-01-01 15:15:00,132.5,133.27,132.46,133.01,4793.10268
2019-01-01 15:30:00,133.01,133.62,132.82,133.13,2784.95672
2019-01-01 15:45:00,133.15,133.47,132.9,132.98,1646.24354
2019-01-01 16:00:00,132.97,133.13,132.5,133.03,2350.87068
2019-01-01 16:15:00,133.03,133.31,132.86,133.28,1280.92022
2019-01-01 16:30:00,133.3,133.31,133.0,133.19,1151.7042
2019-01-01 16:45:00,133.19,133.3,133.0,133.29,764.08431
2019-01-01 17:00:00,133.29,133.58,133.16,133.46,1274.20109
2019-01-01 17:15:00,133.46,133.6,133.22,133.22,638.56611
2019-01-01 17:30:00,133.26,133.31,132.6,132.98,1734.71261
2019-01-01 17:45:00,132.97,133.0,132.52,132.58,1624.46774
2019-01-01 18:00:00,132.56,132.65,131.5,131.59,4541.55306
2019-01-01 18:15:00,131.59,132.46,131.5,132.21,2128.38217
2019-01-01 18:30:00,132.21,132.32,131.0,131.55,5466.93984
2019-01-01 18:45:00,131.56,132.1,131.28,132.04,2652.74202
2019-01-01 19:00:00,132.04,133.23,132.04,133.22,2908.01953
2019-01-01 19:15:00,133.22,133.53,132.6,133.12,4842.83208
2019-01-01 19:30:00,133.12,134.68,133.1,134.59,8047.89098
2019-01-01 19:45:00,134.58,135.58,133.86,135.27,9754.71008
2019-01-01 20:00:00,135.26,139.17,135.16,138.27,31052.10265
2019-01-01 20:15:00,138.29,139.48,136.83,138.32,20491.39444
2019-01-01 20:30:00,138.3,138.47,137.2,137.37,8317.09576
2019-01-01 20:45:00,137.37,138.0,136.89,137.95,7195.26674
2019-01-01 21:00:00,137.95,139.02,137.92,138.07,10958.04161
2019-01-01 21:15:00,138.08,138.28,137.51,138.15,8679.249
2019-01-01 21:30:00,138.15,138.54,137.82,137.88,4950.58436
2019-01-01 21:45:00,137.87,137.89,137.0,137.06,5139.94435
2019-01-01 22:00:00,137.05,137.83,137.02,137.32,4397.44126
2019-01-01 22:15:00,137.31,137.35,136.21,136.66,6705.79602
2019-01-01 22:30:00,136.66,137.55,136.29,137.02,4660.59671
2019-01-01 22:45:00,137.02,137.97,136.98,137.63,2821.60237
2019-01-01 23:00:00,137.64,138.1,136.71,137.75,4254.12819
2019-01-01 23:15:00,137.75,140.67,137.7,139.37,22134.07981
2019-01-01 23:30:00,139.37,139.78,137.8,138.09,9067.89309
2019-01-01 23:45:00,138.05,139.49,137.5,139.1,9439.18165
2019-01-02 00:00:00,139.1,140.0,138.44,139.21,12332.83335
2019-01-02 00:15:00,139.2,139.57,138.22,138.9,6806.27822
2019-01-02 00:30:00,138.79,138.86,138.07,138.55,6260.04169
2019-01-02 00:45:00,138.47,139.77,138.46,138.92,8467.82541
2019-01-02 01:00:00,138.92,140.0,138.38,138.55,6339.25958
2019-01-02 01:15:00,138.48,139.13,138.47,138.83,3122.20736
2019-01-02 01:30:00,138.83,139.08,138.7,139.02,2524.64527
2019-01-02 01:45:00,139.01,139.02,137.76,138.04,4309.24479
2019-01-02 02:00:00,138.02,138.49,137.79,138.36,3241.55855
